Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"PWY-7411","1.1514376996805","1.802","0.0324","1.565","0.0792","-0.2811","-0.1919","-0.237","7.468E-6","1.697E-5"
"THRESYN-PWY","1.1190324633991","1.758","0.0319","1.571","0.0705","-0.2243","-0.1473","-0.1874","1.412E-5","2.206E-5"
"HEME-BIOSYNTHESIS-II","1.1766644693474","1.785","0.0312","1.517","0.0656","-0.3014","-0.2308","-0.2677","7.468E-6","1.697E-5"
"PWY-5067","0.95107398568019","1.594","0.0222","1.676","0.0365","0.06035","0.1025","0.08214","2.136E-5","2.913E-5"
"PWY-5083","1.7113144758735","2.057","0.0576","1.202","0.1779","-0.9595","-0.7594","-0.8556","7.468E-6","1.697E-5"
"PWY-6837","1.2074576271186","1.781","0.0399","1.475","0.1139","-0.3668","-0.2398","-0.3066","9.252E-6","1.779E-5"
"PWY-7197","0.96699266503667","1.582","0.0174","1.636","0.1238","-0.005278","0.1203","0.05414","0.01585","0.01699"
"P185-PWY","1.0573084352865","1.642","0.0179","1.553","0.0761","-0.1203","-0.04478","-0.08836","0.0001247","0.0001509"
"PWY-5920","1.1110372340426","1.671","0.0244","1.504","0.0567","-0.1951","-0.1339","-0.1662","9.252E-6","1.779E-5"
"PWY-7221","0.99432892249527","1.578","0.0134","1.587","0.0705","-0.02672","0.04849","0.00871","0.5972","0.5972"
"ANAGLYCOLYSIS-PWY","1.1271244051666","1.658","0.0253","1.471","0.0669","-0.2228","-0.1499","-0.1866","9.252E-6","1.779E-5"
"PWY-5189","1.0487641950568","1.57","0.0191","1.497","0.0602","-0.1041","-0.03938","-0.07322","0.002247","0.002515"
"PWY-4981","1.0694822888283","1.57","0.0173","1.468","0.0472","-0.1257","-0.07444","-0.1022","7.053E-5","8.966E-5"
"PWY-922","1.0836212854181","1.568","0.0208","1.447","0.0484","-0.1447","-0.08992","-0.1212","2.136E-5","2.913E-5"
"PWY-4984","1.0989473684211","1.566","0.0239","1.425","0.0549","-0.1689","-0.1106","-0.1407","1.738E-5","2.607E-5"
"UDPNACETYLGALSYN-PWY","1.1067892503536","1.565","0.0246","1.414","0.0576","-0.1802","-0.1187","-0.1509","1.412E-5","2.206E-5"
"PWY-5667","1.1444281524927","1.561","0.0293","1.364","0.0785","-0.2394","-0.1539","-0.1974","1.144E-5","1.995E-5"
"PWY-6609","1.5595026642984","1.756","0.0657","1.126","0.2393","-0.7749","-0.5013","-0.6296","7.468E-6","1.697E-5"
"SO4ASSIM-PWY","1.265522875817","1.549","0.0487","1.224","0.112","-0.3798","-0.2569","-0.3253","1.412E-5","2.206E-5"
"PWY66-422","0.2014175257732","0.3126","0.3208","1.552","0.0898","1.067","1.4","1.239","7.468E-6","1.697E-5"
"PWY-5994","0.059735023041475","0.1037","0.1269","1.736","0.5931","1.335","1.941","1.633","7.468E-6","1.697E-5"
"PWY-7118","0.08965811965812","0.1049","0.1345","1.17","0.2544","0.9102","1.199","1.065","7.468E-6","1.697E-5"
"PWY-7210","0.11960396039604","0.1208","0.1537","1.01","0.1982","0.7599","1.006","0.8894","9.252E-6","1.779E-5"
"PWY-7385","0.11796623794212","0.1174","0.1387","0.9952","0.1672","0.759","0.9778","0.8776","7.468E-6","1.697E-5"
"LEU-DEG2-PWY","0.098123608608078","0.0926","0.1095","0.9433","0.3149","0.6898","1.051","0.8508","7.468E-6","1.697E-5"
"PWY-7388","0.066302443047109","0.0643","0.0843","0.9701","0.2906","0.7533","1.053","0.9059","7.468E-6","1.697E-5"
"PWY-6317","0.089313621964097","0.0846","0.1023","0.947","0.1613","0.7705","0.9556","0.8624","7.468E-6","1.697E-5"
"PWY-621","0.056644691186676","0.0326","0.0384","0.5764","0.1389","0.4724","0.6225","0.5437","7.468E-6","1.697E-5"
"PWY3O-355","0.055418015616073","0.0291","0.032","0.5251","0.1677","0.418","0.5863","0.496","7.468E-6","1.697E-5"
"PWY-7269","0.055813953488372","0.029","0.0366","0.5203","0.1721","0.41","0.5803","0.4913","7.468E-6","1.697E-5"
"PWY66-409","0.11015962036238","0.0511","0.0785","0.4636","0.2057","0.2925","0.5135","0.4125","2.136E-5","2.913E-5"
"TYRFUMCAT-PWY","0.079538497763127","0.0338","0.0416","0.4247","0.1601","0.3007","0.4761","0.3909","1.144E-5","1.995E-5"
"PWY-7268","0.05756771109931","0.0217","0.0273","0.3766","0.1186","0.2942","0.4211","0.3549","7.468E-6","1.697E-5"
"PWY-7409","0.069834710743802","0.0254","0.0254","0.363","0.2057","0.2545","0.4575","0.3376","7.468E-6","1.697E-5"
"PWY4FS-7","0.060636799098338","0.0215","0.0257","0.3549","0.0971","0.2804","0.3885","0.3334","7.468E-6","1.697E-5"
"PWY4FS-8","0.060636799098338","0.0215","0.0257","0.3549","0.0971","0.2842","0.3874","0.3334","7.468E-6","1.697E-5"
"PWY-7235","0.067917990181923","0.0235","0.0283","0.3463","0.0693","0.2854","0.3583","0.3228","7.468E-6","1.697E-5"
"PWY-2723","0.055788388869804","0.0162","0.0195","0.2911","0.0933","0.2314","0.3243","0.2748","7.468E-6","1.697E-5"
"GLUCOSE1PMETAB-PWY","0.056628191675411","0.0162","0.0194","0.2859","0.0899","0.224","0.3185","0.2697","7.468E-6","1.697E-5"
"PWY-7420","0.052268667381208","0.0146","0.0185","0.2799","0.1027","0.2127","0.3256","0.2652","7.468E-6","1.697E-5"
"LIPASYN-PWY","0.051266339869281","0.0126","0.014","0.2448","0.077","0.1929","0.2735","0.2322","7.468E-6","1.697E-5"
"PWY-7196","0.08759187202767","0.0203","0.0317","0.2313","0.1154","0.1491","0.2749","0.2111","2.136E-5","2.913E-5"
"PWY-5871","0.057950231969633","0.0137","0.0166","0.2371","0.0625","0.1933","0.2579","0.2233","7.468E-6","1.697E-5"
"PWY-5873","0.057950231969633","0.0137","0.0166","0.2371","0.0625","0.1904","0.2539","0.2233","7.468E-6","1.697E-5"
"HSERMETANA-PWY","0.08829221093372","0.0182","0.0286","0.2067","0.1054","0.1324","0.2438","0.1885","2.136E-5","2.913E-5"
"PWY-5651","0.11147946561108","0.0225","0.0461","0.2021","0.1407","0.1141","0.2567","0.1796","5.809E-5","7.512E-5"
"GLUCONEO-PWY","0.34183737589544","0.0272","0.0779","0.0796","0.079","-0.008824","0.1097","0.05237","0.01077","0.01171"
"PWY-6121","0.14142857142857","0.0129","0.0221","0.091","0.0557","0.05166","0.1103","0.07813","3.207E-5","4.219E-5"
"ARGSYNBSUB-PWY","0.03957171314741","0","0","0.0001","0.0004","-5.036E-7","0.0002903","9.645E-5","0.0002166","0.0002539"
"PWY-4041","0.18402862985685","0","0","0","0.0001","-5.992E-6","0.0001202","3.99E-5","0.02907","0.02987"
"POLYAMINSYN3-PWY","0.209767687434","0","0","0","0.0001","-5.084E-7","4.581E-5","1.496E-5","0.0002166","0.0002539"
