Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"PWY-3781","1.300118623962","7.672","0.1831","5.901","0.3247","-1.969","-1.582","-1.771","7.468E-6","1.697E-5"
"PWY-7279","1.300118623962","7.672","0.1831","5.901","0.3247","-1.962","-1.585","-1.771","7.468E-6","1.697E-5"
"PWY-7288","1.34604737004","4.376","0.1153","3.251","0.3384","-1.291","-0.9232","-1.126","9.252E-6","1.779E-5"
"GLYOXYLATE-BYPASS","1.1988015509341","3.401","0.0657","2.837","0.1297","-0.6282","-0.4858","-0.5643","7.468E-6","1.697E-5"
"PWY-6351","1.3393881453155","2.802","0.0624","2.092","0.0813","-0.7627","-0.651","-0.7093","7.468E-6","1.697E-5"
"PWY-5690","1.1606033717835","2.616","0.0452","2.254","0.0825","-0.4032","-0.3085","-0.3611","7.468E-6","1.697E-5"
"PWY-7219","1.0851345390384","2.46","0.0383","2.267","0.0811","-0.239","-0.1471","-0.1932","1.412E-5","2.206E-5"
"NONOXIPENT-PWY","1.151003649635","2.523","0.0261","2.192","0.2124","-0.4304","-0.2152","-0.3311","0.0001247","0.0001509"
"PWY-7111","1.1222222222222","2.424","0.0366","2.16","0.0841","-0.3094","-0.2104","-0.2636","1.144E-5","1.995E-5"
"PWY-7229","1.121464997682","2.419","0.0413","2.157","0.0966","-0.3143","-0.2013","-0.2621","1.412E-5","2.206E-5"
"PWY-6126","1.0577193805725","2.254","0.0305","2.131","0.1178","-0.1806","-0.05778","-0.1228","0.001647","0.001872"
"PWY-7007","1.2334035827187","2.341","0.0396","1.898","0.152","-0.5152","-0.3605","-0.4429","9.252E-6","1.779E-5"
"TRNA-CHARGING-PWY","1.0292397660819","2.112","0.0157","2.052","0.0477","-0.086","-0.03408","-0.05972","0.0007324","0.0008451"
"PWY-6606","1.2005449591281","2.203","0.0439","1.835","0.2542","-0.5133","-0.2641","-0.3679","7.468E-6","1.697E-5"
"VALSYN-PWY","1.0810531750129","2.094","0.0238","1.937","0.0633","-0.1891","-0.121","-0.1567","1.738E-5","2.607E-5"
"PWY-5659","0.85700978108989","1.84","0.0411","2.147","0.0404","0.2784","0.3348","0.3069","7.468E-6","1.697E-5"
"PWY-7184","1.0086558044807","1.981","0.025","1.964","0.1503","-0.09671","0.06627","-0.01743","0.3232","0.3276"
"PWY-7282","1.1468860164512","1.952","0.0361","1.702","0.0829","-0.2963","-0.2017","-0.2506","1.144E-5","1.995E-5"
"PENTOSE-P-PWY","1.1447212336892","1.93","0.0273","1.686","0.1188","-0.3023","-0.1755","-0.2441","0.0001247","0.0001509"
"PWY-7228","0.97638660076881","1.778","0.0163","1.821","0.1077","-0.01229","0.1043","0.04242","0.02585","0.02693"
"SER-GLYSYN-PWY","1.0089535534415","1.803","0.0104","1.787","0.0439","-0.0385","0.007992","-0.01686","0.02294","0.02423"
"P221-PWY","3.0553962610391","2.664","0.1299","0.8719","0.307","-1.946","-1.62","-1.792","7.468E-6","1.697E-5"
"PWY-7208","1.0380842469706","1.799","0.0218","1.733","0.1038","-0.1154","-0.007055","-0.06536","0.002616","0.002885"
"PANTO-PWY","1.0640569395018","1.794","0.0203","1.686","0.0519","-0.1378","-0.08122","-0.1085","2.62E-5","3.509E-5"
