Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"PWY-7295","0.98070866141732","0.0249","0.014","0.0254","0.0071","-0.008616","0.008014","0.0004893","0.4763","0.5298"
"ORNDEG-PWY","7.2114116094987","0.0437","0.025","0.0061","0.0155","-0.05122","-0.02198","-0.03766","0.0002594","0.0007567"
"P125-PWY","2.3230663928816","0.0339","0.0103","0.0146","0.005","-0.02587","-0.01368","-0.01933","7.468E-6","0.0001135"
"PWY-6505","2.2774369461486","0.0334","0.0074","0.0147","0.0042","-0.02315","-0.01418","-0.01874","9.252E-6","0.0001135"
"PWY-2941","3.9779537671233","0.0372","0.0295","0.0093","0.0059","-0.04297","-0.01421","-0.02782","0.0003099","0.0008801"
"PWY-7527","3.6743733794296","0.034","0.0181","0.0093","0.0053","-0.03484","-0.01562","-0.02476","3.207E-5","0.0001588"
"PWY-6957","1.7370466321244","0.0268","0.0079","0.0154","0.0059","-0.01659","-0.006325","-0.01139","0.0003099","0.0008801"
"PWY-5178","1.5328422344997","0.025","0.0063","0.0163","0.0053","-0.01301","-0.004658","-0.008671","0.001647","0.003773"
"PYRIDOXSYN-PWY","0.68179959100204","0.0167","0.0071","0.0244","0.0083","0.002262","0.01305","0.007777","0.02294","0.03688"
"P461-PWY","3.4260276983953","0.0312","0.0162","0.0091","0.0047","-0.03094","-0.0139","-0.02207","1.412E-5","0.0001135"
"PWY-5430","1.88","0.0259","0.0068","0.0138","0.0044","-0.01636","-0.008106","-0.01209","3.207E-5","0.0001588"
"PWY-5183","2.2224039247751","0.0272","0.0092","0.0122","0.0053","-0.02025","-0.009654","-0.01495","0.0001806","0.0005657"
"PWY-6992","0.84372003835091","0.0176","0.0088","0.0209","0.0095","-0.003425","0.009705","0.003268","0.5972","0.6557"
"METHYLGALLATE-DEGRADATION-PWY","1.3015576323988","0.0209","0.0052","0.016","0.006","-0.009087","-0.0009481","-0.00484","0.03263","0.05055"
"PWY-6728","4.2612706442494","0.0286","0.0214","0.0067","0.0042","-0.0346","-0.01285","-0.02192","2.136E-5","0.00014"
"AST-PWY","0.99547767100057","0.0176","0.0067","0.0177","0.0059","-0.004767","0.004654","8.023E-5","0.9085","0.9172"
"PWY-5654","2.4882252730735","0.0248","0.0053","0.01","0.0031","-0.01812","-0.01193","-0.01485","7.468E-6","0.0001135"
"PWY-7003","4.2580448375782","0.0279","0.0144","0.0066","0.0026","-0.02859","-0.01429","-0.02136","4.775E-5","0.0002164"
"PWY-5647","2.256468405319","0.0219","0.0048","0.0097","0.003","-0.01507","-0.009548","-0.01219","9.252E-6","0.0001135"
"PWY-6944","1.984267453294","0.0202","0.0114","0.0102","0.0061","-0.01674","-0.003151","-0.01001","0.004082","0.008361"
"GALLATE-DEGRADATION-I-PWY","1.3006939090208","0.0169","0.0043","0.013","0.0049","-0.007108","-0.0004945","-0.003898","0.03263","0.05055"
"GALLATE-DEGRADATION-II-PWY","1.4102990033223","0.017","0.0043","0.012","0.0037","-0.007929","-0.001958","-0.004931","0.005439","0.01058"
"PWY-6590","2.0314136125654","0.0194","0.0103","0.0095","0.0057","-0.01597","-0.004035","-0.009852","0.008242","0.01547"
"P184-PWY","1.4218616567037","0.0167","0.0043","0.0117","0.0042","-0.007957","-0.001986","-0.004934","0.004717","0.009568"
"DENITRIFICATION-PWY","1.2237982663515","0.0155","0.0038","0.0127","0.0043","-0.005773","6.668E-5","-0.002847","0.09352","0.1273"
"PWY-4361","3.8713613386788","0.0222","0.0125","0.0057","0.0034","-0.0223","-0.009918","-0.01647","3.207E-5","0.0001588"
"NAD-BIOSYNTHESIS-II","1.0413533834586","0.0138","0.0027","0.0133","0.0077","-0.004576","0.003716","-0.0005538","0.6295","0.6858"
"PWY-6471","5.5522971652004","0.0227","0.0211","0.0041","0.0029","-0.0312","-0.01006","-0.01862","0.0001502","0.0004923"
"GLCMANNANAUT-PWY","1.0171206225681","0.0131","0.0033","0.0129","0.0038","-0.002701","0.002461","-0.0002275","0.9817","0.984"
"PWY-6210","2.6340830449827","0.0183","0.0046","0.0069","0.0022","-0.01432","-0.008713","-0.01134","7.468E-6","0.0001135"
"PWY-7098","1.4287138584247","0.0143","0.0037","0.01","0.004","-0.007064","-0.001525","-0.0043","0.01396","0.02408"
"PWY-7090","1.3440860215054","0.0138","0.0042","0.0102","0.0027","-0.006043","-0.0009621","-0.003528","0.01396","0.02408"
"CENTFERM-PWY","2.0565484129101","0.0154","0.0083","0.0075","0.0045","-0.01303","-0.003197","-0.007924","0.008242","0.01547"
"PWY-6338","1.4384478144514","0.0129","0.0033","0.009","0.0036","-0.006466","-0.001432","-0.003926","0.01227","0.02206"
"PWY-7097","1.4384478144514","0.0129","0.0033","0.009","0.0036","-0.006385","-0.001393","-0.003926","0.01227","0.02206"
"PWY-6891","3.2553606237817","0.0167","0.0124","0.0051","0.0032","-0.01797","-0.005402","-0.01157","0.001198","0.002868"
"PWY-7315","1.7312894499549","0.0134","0.0035","0.0078","0.002","-0.007759","-0.003608","-0.005679","0.0002166","0.0006499"
"PWY-6470","4.6253369272237","0.0172","0.0115","0.0037","0.0026","-0.02021","-0.008114","-0.01345","0.0001034","0.0003731"
"PWY-1361","0.57590361445783","0.0062","0.0039","0.0108","0.0056","0.001041","0.007929","0.004579","0.03656","0.05603"
"PWY-6562","1.4609681639773","0.01","0.0034","0.0069","0.0029","-0.005282","-0.001034","-0.003171","0.01585","0.02659"
"PWY-7377","3.7708628005658","0.0133","0.0091","0.0035","0.0019","-0.01451","-0.005273","-0.009794","0.0005223","0.001382"
"PWY-6641","0.89425392820278","0.0078","0.0033","0.0087","0.0043","-0.00173","0.003662","0.0009203","0.7652","0.8069"
