Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"Epiphyte-Leaf Saprotroph-Lichen Parasite-Lichenized-Plant Pathogen-Wood Saprotroph","4.9463612641345","0.0171","0.0638","0.0034","0.0108","-0.05029","0.008713","-0.01362","0.3651","0.3824"
"Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph","","0","0","0.0202","0.0545","0.002178","0.04955","0.02015","0.003377","0.008273"
"Endophyte-Plant Pathogen-Undefined Saprotroph","0.021277842907386","0.0004","0.0009","0.0171","0.0204","0.006716","0.02796","0.0167","0.001195","0.003392"
"Lichenized","0.044931930693069","0.0007","0.0016","0.0162","0.0328","0.001997","0.03523","0.01543","0.02461","0.03938"
"Dung Saprotroph-Plant Saprotroph","0.21424075531078","0.0027","0.0102","0.0127","0.0153","0.0001827","0.01961","0.009985","0.000913","0.002678"
"Endophyte-Plant Pathogen-Wood Saprotroph","0.037506887052342","0.0005","0.002","0.0145","0.0182","0.005445","0.02396","0.01398","0.005116","0.01047"
"Leaf Saprotroph","","0","0","0.014","0.0343","0.002179","0.03594","0.01398","0.003384","0.008273"
"Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","0.026671565025716","0.0004","0.0014","0.0136","0.0307","0.001997","0.03123","0.01325","0.007091","0.01328"
"Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph","0.19038461538462","0.0022","0.0054","0.0114","0.0126","0.002724","0.01706","0.009259","0.02154","0.0351"
"Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","0.63640916489295","0.0051","0.0163","0.008","0.0221","-0.01107","0.01924","0.002904","0.1663","0.2032"
"Dung Saprotroph-Soil Saprotroph","0.015619621342513","0.0002","0.0007","0.0116","0.0385","5.318E-7","0.03378","0.01144","0.13","0.1708"
"Arbuscular Mycorrhizal","0.29163319178239","0.0025","0.0074","0.0087","0.0192","-0.00254","0.01834","0.006174","0.0868","0.1175"
"Dung Saprotroph-Endophyte-Wood Saprotroph","","0","0","0.0112","0.0176","0.002904","0.02142","0.01125","0.0005223","0.001791"
"Endophyte-Undefined Saprotroph","0.19997796386073","0.0018","0.0044","0.0091","0.0084","0.002543","0.01216","0.007262","0.006927","0.01325"
"Ectomycorrhizal-Fungal Parasite-Plant Saprotroph-Wood Saprotroph","0.10638846559606","0.0009","0.0024","0.0085","0.0214","-0.001089","0.01979","0.007624","0.582","0.5886"
