Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"1.6.5.3","0.08161","0.1127","1.071","0.0566","1.134","0.0584","1.084","0.0295","1.145","0.0313","1.073","0.0407","1.071","0.0281","1.032","0.023","1.076","0.0118"
"2.7.7.7","0.08423","0.1154","1.057","0.0446","1.104","0.0435","1.061","0.0188","1.105","0.022","1.063","0.0307","1.055","0.0226","1.027","0.0218","1.056","0.009"
"3.6.4.12","0.008781","0.02531","0.973","0.0286","0.9993","0.0214","0.9678","0.0219","0.9915","0.0109","0.9868","0.0184","0.9489","0.0084","0.9552","0.0035","0.9508","0.0052"
"2.7.13.3","0.002739","0.01834","0.8696","0.0093","0.8992","0.0126","0.8584","0.0117","0.9107","0.0072","0.8694","0.0091","0.8582","0.0068","0.8868","0.0047","0.8793","0.0005"
"1.1.1.100","0.01546","0.03524","0.7143","0.0104","0.7125","0.0083","0.7129","0.0198","0.6977","0.0068","0.7228","0.0168","0.6931","0.0071","0.729","0.0283","0.7229","0.0018"
"2.7.11.1","0.005044","0.02038","0.5847","0.0191","0.5361","0.0243","0.5746","0.0566","0.5052","0.0238","0.625","0.0318","0.5165","0.0359","0.6136","0.0736","0.5267","0.0027"
"1.9.3.1","0.004089","0.01906","0.5196","0.0053","0.5539","0.0268","0.5339","0.0302","0.5875","0.0196","0.4994","0.0184","0.5878","0.0243","0.5152","0.0505","0.5821","0.0025"
"5.2.1.8","0.006046","0.02211","0.5267","0.0067","0.5541","0.0321","0.5265","0.0297","0.573","0.0172","0.502","0.023","0.5715","0.0143","0.5194","0.0372","0.5521","0.0057"
"6.3.5.7","0.001129","0.01834","0.4756","0.0086","0.5081","0.0093","0.4933","0.0035","0.5329","0.0024","0.476","0.0131","0.5041","0.0018","0.4659","0.0245","0.5124","0.0001"
"6.3.5.6","0.001129","0.01834","0.4752","0.0085","0.508","0.0093","0.4931","0.0035","0.5328","0.0024","0.4757","0.0131","0.5039","0.0018","0.4658","0.0245","0.5123","0.0001"
"2.3.1.9","0.04455","0.07127","0.481","0.0126","0.4631","0.0378","0.4901","0.0139","0.4292","0.0355","0.4942","0.0116","0.4467","0.033","0.4936","0.0343","0.4454","0.0054"
"2.7.7.6","0.08568","0.1168","0.4216","0.0152","0.4399","0.0152","0.4213","0.0109","0.4449","0.0092","0.4261","0.009","0.4203","0.0082","0.4125","0.0075","0.425","0.0035"
"2.2.1.6","0.035","0.06046","0.3985","0.006","0.4119","0.0129","0.4015","0.0031","0.4226","0.0078","0.3932","0.0115","0.4038","0.0092","0.4047","0.0053","0.417","0.0013"
"4.2.1.17","0.006544","0.0225","0.4157","0.0086","0.4013","0.0347","0.4294","0.0406","0.3448","0.0327","0.4413","0.0119","0.3694","0.0235","0.4393","0.0495","0.3662","0.0052"
"6.2.1.3","0.02308","0.04586","0.3845","0.0173","0.3691","0.0382","0.4018","0.0242","0.3454","0.0118","0.4174","0.0164","0.3683","0.0157","0.3885","0.0381","0.3693","0.0049"
"1.2.99.2","0.0391","0.06578","0.3616","0.0227","0.349","0.0603","0.3869","0.018","0.3398","0.0167","0.3874","0.0179","0.3236","0.0229","0.3504","0.0366","0.3415","0.0051"
"6.4.1.2","0.1215","0.1527","0.3512","0.0048","0.3567","0.0159","0.3391","0.0072","0.3772","0.0128","0.3556","0.0119","0.3447","0.0132","0.3548","0.0112","0.3519","0.0017"
"1.2.4.1","0.003277","0.0184","0.3693","0.0042","0.3422","0.0264","0.3675","0.0334","0.3051","0.0134","0.3954","0.0143","0.3052","0.0078","0.3755","0.0495","0.3148","0.0022"
"5.1.3.2","0.287","0.314","0.3428","0.017","0.3518","0.0184","0.3542","0.015","0.3402","0.0015","0.3532","0.0038","0.3393","0.0041","0.3412","0.015","0.3513","0.0024"
"3.6.3.17","0.03962","0.06598","0.3629","0.0202","0.318","0.0597","0.3543","0.0108","0.3073","0.0172","0.378","0.023","0.3136","0.024","0.3805","0.0722","0.3306","0.0059"
"4.2.99.18","0.002712","0.01834","0.3406","0.0108","0.3256","0.0052","0.3441","0.0265","0.3194","0.0089","0.3609","0.0152","0.3045","0.0152","0.349","0.0305","0.3121","0.0018"
"1.1.1.1","0.2288","0.2606","0.3311","0.0131","0.3247","0.0183","0.3218","0.013","0.3179","0.0156","0.3295","0.0078","0.3145","0.0083","0.3491","0.0223","0.3224","0.0031"
"1.3.8.7","0.1057","0.1363","0.323","0.0141","0.3097","0.0466","0.3441","0.0182","0.2853","0.0253","0.3366","0.0146","0.3073","0.0331","0.3286","0.0139","0.3055","0.0062"
"3.6.3.14","0.001934","0.01834","0.2975","0.0088","0.3189","0.0099","0.3033","0.0089","0.3402","0.0086","0.2894","0.0093","0.3206","0.0036","0.2864","0.0252","0.3173","0.0018"
"6.3.5.3","0.03072","0.05485","0.289","0.0106","0.3067","0.0055","0.2932","0.0122","0.3025","0.0018","0.2952","0.0072","0.2885","0.0061","0.2826","0.0013","0.2915","0.0018"
"3.5.1.4","0.2521","0.2813","0.2925","0.0112","0.2821","0.0382","0.3089","0.0109","0.2737","0.0179","0.3078","0.0154","0.2879","0.0246","0.2961","0.0196","0.289","0.0049"
"2.5.1.18","0.05855","0.08875","0.2739","0.022","0.3099","0.0361","0.2876","0.0559","0.3171","0.0355","0.2285","0.0424","0.3344","0.042","0.2667","0.066","0.3186","0.0061"
"5.4.2.12","0.001222","0.01834","0.3086","0.0138","0.2755","0.0008","0.3067","0.0336","0.2565","0.0067","0.3444","0.0219","0.2496","0.0081","0.3171","0.049","0.2619","0.0012"
"3.6.1.27","0.005017","0.02038","0.306","0.0128","0.2792","0.0167","0.2995","0.0283","0.2559","0.0094","0.3249","0.0153","0.2662","0.0113","0.3109","0.038","0.2656","0.0007"
"1.2.1.3","0.01316","0.03172","0.2994","0.0146","0.2767","0.019","0.2873","0.0049","0.2625","0.0173","0.2996","0.01","0.2691","0.0145","0.3101","0.024","0.2762","0.003"
"1.3.5.4","0.001935","0.01834","0.2878","0.0045","0.2842","0.0016","0.2897","0.0174","0.2733","0.0034","0.3014","0.0085","0.2666","0.0013","0.2997","0.0272","0.2724","0.0011"
"3.6.4.13","0.003484","0.01868","0.2751","0.0084","0.2895","0.0139","0.272","0.0161","0.2988","0.008","0.2591","0.0084","0.2942","0.0028","0.2741","0.0188","0.2896","0.0016"
"6.3.1.2","0.003919","0.01878","0.2869","0.007","0.2865","0.0133","0.2906","0.0166","0.2636","0.0082","0.3015","0.0051","0.2614","0.0045","0.2845","0.0205","0.2689","0.0019"
"1.3.5.1","0.002649","0.01834","0.2808","0.0039","0.2794","0.0035","0.2815","0.015","0.2704","0.0034","0.2907","0.005","0.2638","0.0015","0.2933","0.0266","0.2702","0.0012"
"2.8.1.7","0.01567","0.0355","0.2731","0.0088","0.2848","0.0055","0.2674","0.007","0.2838","0.0022","0.2772","0.006","0.2751","0.0039","0.2685","0.0023","0.2791","0.0011"
"3.4.16.4","0.001449","0.01834","0.2996","0.0026","0.266","0.0163","0.2845","0.0104","0.2354","0.0099","0.3103","0.0155","0.2511","0.0089","0.297","0.0269","0.2636","0.0031"
"1.6.5.5","0.2799","0.3077","0.26","0.0208","0.2626","0.0369","0.2663","0.0101","0.2784","0.0135","0.2585","0.0221","0.2789","0.0167","0.2846","0.0137","0.2851","0.0049"
"4.3.3.7","0.007938","0.02428","0.262","0.0136","0.2719","0.011","0.265","0.0102","0.279","0.0049","0.2504","0.014","0.2839","0.0104","0.2661","0.0124","0.2845","0.0016"
"5.99.1.3","0.02052","0.04243","0.2691","0.0171","0.2636","0.0186","0.2695","0.0134","0.2522","0.0079","0.2798","0.0091","0.2465","0.0085","0.2679","0.0192","0.2501","0.0017"
"1.11.1.15","0.008237","0.0248","0.2486","0.0116","0.2686","0.0287","0.2404","0.0052","0.2918","0.0019","0.243","0.004","0.2658","0.0053","0.2594","0.0192","0.2696","0.0018"
"1.8.1.9","0.2831","0.3108","0.2497","0.0047","0.2463","0.0106","0.2479","0.0069","0.2531","0.007","0.2454","0.0085","0.2557","0.0057","0.2391","0.0162","0.2523","0.0001"
"5.4.99.2","0.004243","0.0193","0.2509","0.0238","0.2483","0.0153","0.2585","0.0234","0.2152","0.0024","0.2695","0.0117","0.2226","0.0035","0.2438","0.0264","0.2273","0.0022"
"3.2.1.21","0.1458","0.178","0.2432","0.0218","0.2062","0.0421","0.2271","0.0292","0.1982","0.0147","0.2488","0.0171","0.2392","0.0226","0.2734","0.0474","0.2494","0.0018"
"1.8.1.4","0.002535","0.01834","0.2447","0.0089","0.2323","0.0087","0.2418","0.0186","0.2161","0.0061","0.2629","0.0115","0.215","0.0055","0.2541","0.0317","0.2177","0.0006"
"4.2.1.33","0.03929","0.06578","0.2335","0.0069","0.242","0.0114","0.2345","0.0021","0.2449","0.0017","0.2297","0.0054","0.2364","0.0029","0.2254","0.0102","0.235","0.0016"
"4.2.1.20","0.04154","0.06811","0.231","0.013","0.2351","0.0104","0.2317","0.0074","0.2342","0.005","0.2375","0.0092","0.2205","0.0053","0.2216","0.0007","0.221","0.0019"
"2.7.7.4","0.01595","0.03597","0.2211","0.0061","0.2364","0.0078","0.2181","0.0096","0.2307","0.0091","0.2194","0.0053","0.2298","0.0009","0.2369","0.0154","0.2344","0.0009"
"6.3.5.5","0.1356","0.1672","0.2289","0.0115","0.2351","0.0102","0.2295","0.0066","0.235","0.0047","0.2316","0.0096","0.2229","0.0049","0.2201","0.0023","0.223","0.0023"
"4.2.1.35","0.2879","0.3148","0.2277","0.008","0.2344","0.0132","0.2271","0.0028","0.2359","0.0024","0.2246","0.0058","0.2249","0.0048","0.22","0.0081","0.2244","0.0022"
"1.1.1.95","0.005392","0.02105","0.2157","0.0109","0.2295","0.0123","0.2277","0.0158","0.2381","0.0042","0.2067","0.0131","0.2466","0.0136","0.2081","0.0223","0.2454","0.0026"
"2.5.1.47","0.04542","0.07219","0.2199","0.0045","0.2213","0.0085","0.2155","0.0055","0.2296","0.0025","0.2204","0.0035","0.2174","0.0031","0.2289","0.0074","0.2238","0.0007"
"4.3.1.19","0.3859","0.4107","0.2271","0.0111","0.2233","0.0132","0.2294","0.0182","0.2189","0.005","0.222","0.0036","0.2171","0.0036","0.2203","0.0074","0.2156","0.0008"
"3.1.26.4","0.003538","0.01868","0.2185","0.0058","0.2307","0.0052","0.214","0.0034","0.2342","0.0039","0.2174","0.0037","0.2226","0.002","0.2118","0.0045","0.222","0.0014"
"6.1.1.20","0.08156","0.1127","0.2182","0.0113","0.2285","0.0118","0.2195","0.005","0.2299","0.0059","0.2198","0.0072","0.2169","0.0056","0.2101","0.0049","0.2171","0.0021"
"6.2.1.5","0.128","0.1599","0.2188","0.0115","0.2279","0.0123","0.2195","0.0065","0.2295","0.0071","0.2202","0.0077","0.215","0.0058","0.2102","0.0028","0.2145","0.0023"
"1.17.4.1","0.002506","0.01834","0.2289","0.007","0.2165","0.0084","0.2204","0.0057","0.2132","0.0014","0.225","0.0031","0.2035","0.0036","0.233","0.0099","0.2049","0.0024"
"4.1.99.18","0.0859","0.117","0.2147","0.0101","0.2234","0.0105","0.2162","0.0068","0.2269","0.0062","0.2166","0.0068","0.2128","0.0055","0.207","0.0043","0.2131","0.0018"
"4.6.1.1","0.01054","0.02779","0.1979","0.0197","0.2167","0.0218","0.2109","0.0195","0.2253","0.0132","0.1818","0.0223","0.2418","0.0165","0.2031","0.0163","0.2383","0.0063"
"2.2.1.1","0.006674","0.02254","0.2058","0.0029","0.2145","0.0077","0.207","0.0053","0.2194","0.0042","0.2044","0.0047","0.2202","0.0022","0.2092","0.0045","0.2215","0.0008"
"6.5.1.1","0.06696","0.09846","0.2003","0.0132","0.2003","0.0237","0.2106","0.0097","0.204","0.0065","0.2035","0.0171","0.2312","0.0103","0.2179","0.0078","0.2267","0.0049"
"2.3.1.51","0.005036","0.02038","0.2176","0.0073","0.21","0.0091","0.2221","0.0081","0.2017","0.0037","0.2219","0.0062","0.2025","0.0086","0.2159","0.0075","0.199","0.0015"
"1.6.99.3","0.03618","0.06201","0.2143","0.004","0.2094","0.0057","0.214","0.0032","0.2057","0.0015","0.2169","0.0036","0.2081","0.0048","0.2101","0.0051","0.2094","0.0017"
"1.4.1.13","0.06736","0.0988","0.2101","0.0038","0.2155","0.0041","0.2107","0.0057","0.2103","0.0066","0.2084","0.0058","0.2048","0.0023","0.2056","0.0017","0.2027","0.0008"
"1.4.1.14","0.06736","0.0988","0.2101","0.0038","0.2155","0.0041","0.2107","0.0057","0.2103","0.0066","0.2084","0.0058","0.2048","0.0023","0.2056","0.0017","0.2027","0.0008"
"3.1.11.6","0.07346","0.1055","0.2073","0.0084","0.2155","0.0119","0.2071","0.0057","0.2195","0.007","0.2082","0.0051","0.2011","0.0054","0.2014","0.0047","0.2059","0.0012"
"3.6.3.12","0.02799","0.05142","0.1908","0.0306","0.2024","0.0411","0.1884","0.0157","0.2305","0.0053","0.1838","0.0155","0.217","0.002","0.2277","0.0154","0.2214","0.0009"
"3.6.3.34","0.001361","0.01834","0.2386","0.0045","0.1893","0.0135","0.2196","0.0224","0.1663","0.0104","0.2659","0.0336","0.1619","0.0039","0.2412","0.0559","0.1788","0.0009"
"2.1.1.72","0.2379","0.2684","0.2095","0.0161","0.2208","0.0209","0.2096","0.0124","0.2179","0.0042","0.2061","0.0147","0.2029","0.0058","0.1926","0.0193","0.2008","0.0024"
"2.6.1.9","0.003191","0.01834","0.2098","0.005","0.2007","0.003","0.2157","0.0022","0.2006","0.0038","0.2126","0.0034","0.2034","0.0032","0.2175","0.0072","0.1997","0.0007"
"2.3.2.2","0.03902","0.06572","0.2032","0.0121","0.2106","0.0078","0.2114","0.0234","0.2201","0.004","0.1885","0.0116","0.2117","0.0023","0.1973","0.0222","0.2084","0.0012"
"3.4.19.13","0.03902","0.06572","0.2032","0.0121","0.2106","0.0078","0.2114","0.0234","0.2201","0.004","0.1885","0.0116","0.2117","0.0023","0.1973","0.0222","0.2084","0.0012"
"3.1.4.46","0.001114","0.01834","0.2233","0.0059","0.1937","0.008","0.217","0.023","0.1658","0.0041","0.2446","0.0158","0.1809","0.0026","0.2342","0.0436","0.1871","0.0007"
"6.4.1.3","0.002622","0.01834","0.2175","0.0037","0.1998","0.019","0.2147","0.0204","0.1772","0.0151","0.2361","0.0095","0.1745","0.0076","0.2303","0.048","0.1846","0.0025"
"3.1.3.25","0.5889","0.6025","0.2021","0.0049","0.2124","0.014","0.2035","0.0041","0.2073","0.0076","0.2017","0.0088","0.1998","0.0069","0.2025","0.0062","0.2051","0.0011"
"3.6.1.1","0.2436","0.2733","0.2027","0.0147","0.205","0.0143","0.2066","0.0064","0.1997","0.0079","0.2067","0.008","0.2009","0.0084","0.1906","0.0043","0.1981","0.0016"
"3.6.1.55","0.00155","0.01834","0.2134","0.003","0.1882","0.0057","0.2016","0.0176","0.174","0.0043","0.2345","0.0193","0.1792","0.0019","0.2292","0.0431","0.1881","0.0009"
"2.3.1.128","0.002757","0.01834","0.2081","0.0114","0.1926","0.0049","0.1948","0.0056","0.19","0.0042","0.2118","0.0107","0.1868","0.0016","0.2078","0.0139","0.1946","0.0005"
"4.2.1.9","0.01421","0.03306","0.1889","0.0089","0.2045","0.0146","0.1995","0.0113","0.2044","0.0026","0.1804","0.0112","0.2119","0.0099","0.1842","0.0213","0.2093","0.0018"
"2.3.3.1","0.01871","0.04011","0.2002","0.001","0.1944","0.0092","0.2014","0.0044","0.1833","0.0084","0.2052","0.0035","0.1933","0.0065","0.2043","0.009","0.1906","0.0017"
"2.1.1.63","0.002404","0.01834","0.1874","0.0043","0.1948","0.0081","0.1893","0.0054","0.2078","0.002","0.1833","0.0067","0.2052","0.0024","0.1929","0.0058","0.2041","0.0003"
"3.4.21.92","0.001715","0.01834","0.2055","0.0052","0.1823","0.0081","0.2035","0.0162","0.1706","0.003","0.2238","0.0098","0.1763","0.0023","0.209","0.0304","0.1801","0.0003"
"4.1.3.27","0.0741","0.1062","0.1888","0.0128","0.2036","0.0164","0.1886","0.0069","0.2119","0.0081","0.1881","0.0114","0.1889","0.009","0.1734","0.015","0.1884","0.0031"
"2.6.1.42","0.0887","0.1197","0.1917","0.0143","0.2026","0.0135","0.1963","0.0086","0.1913","0.0023","0.1932","0.0086","0.1883","0.0011","0.1803","0.0043","0.1865","0.0019"
"6.2.1.1","0.5975","0.6104","0.1875","0.0008","0.1872","0.0123","0.1917","0.0071","0.1894","0.0041","0.1937","0.0073","0.1831","0.0056","0.1873","0.0099","0.187","0.001"
"2.7.1.2","0.09969","0.1305","0.1916","0.0049","0.1791","0.0122","0.1897","0.012","0.1821","0.0137","0.2002","0.0034","0.1789","0.0151","0.1977","0.0164","0.1865","0.0025"
"1.17.1.4","0.002526","0.01834","0.1721","0.0196","0.1865","0.0109","0.1776","0.0251","0.2061","0.0067","0.1493","0.0174","0.2151","0.0029","0.1714","0.0305","0.2112","0.0033"
"3.4.21.89","0.1102","0.1411","0.1813","0.0019","0.1821","0.0104","0.1806","0.0026","0.1934","0.012","0.1798","0.0032","0.1917","0.0119","0.18","0.0055","0.1942","0.0013"
"4.2.1.1","0.006554","0.0225","0.1801","0.0074","0.1808","0.013","0.1812","0.0045","0.1801","0.0042","0.1776","0.0061","0.1972","0.0014","0.1916","0.0014","0.1939","0.0003"
"3.2.2.21","0.05363","0.08236","0.1871","0.0039","0.1796","0.0072","0.1894","0.0106","0.1727","0.006","0.1912","0.0033","0.1867","0.008","0.1919","0.0055","0.1824","0.0018"
"2.3.3.13","0.03929","0.06578","0.1844","0.0072","0.1902","0.0123","0.1825","0.0098","0.1886","0.0029","0.1891","0.0036","0.1771","0.0013","0.1778","0.0057","0.1808","0.0011"
"3.5.2.3","0.007825","0.02418","0.1767","0.008","0.1934","0.0115","0.1827","0.0152","0.1982","0.0049","0.1679","0.0084","0.1943","0.0035","0.1639","0.0226","0.191","0.0006"
"3.1.1.45","0.002294","0.01834","0.1733","0.0124","0.1794","0.0151","0.1813","0.0141","0.1971","0.0036","0.1624","0.0081","0.1969","0.0021","0.1824","0.0108","0.1944","0.0008"
"1.6.1.2","0.1417","0.1735","0.1873","0.0059","0.1895","0.02","0.1998","0.0106","0.1764","0.0157","0.1791","0.0112","0.177","0.0151","0.184","0.0079","0.1659","0.0018"
"3.4.11.18","0.00206","0.01834","0.1912","0.0028","0.1754","0.0063","0.1864","0.012","0.1672","0.0027","0.2021","0.0085","0.1663","0.0019","0.1924","0.0218","0.1681","0.0002"
"4.2.3.1","0.4311","0.4527","0.1755","0.0106","0.1779","0.0085","0.1815","0.0063","0.1876","0.0101","0.1799","0.003","0.1807","0.0093","0.173","0.0035","0.1817","0.0011"
"2.3.1.179","0.06615","0.09761","0.1745","0.0151","0.1812","0.0158","0.1805","0.0149","0.1838","0.0085","0.1718","0.0059","0.189","0.0023","0.162","0.0123","0.1875","0.0009"
"1.1.1.157","0.005723","0.02162","0.1858","0.0059","0.1721","0.0218","0.1955","0.0149","0.1564","0.0057","0.1962","0.0061","0.1697","0.0037","0.1886","0.0162","0.1639","0.0012"
"2.3.1.15","0.004322","0.01944","0.1707","0.0077","0.1875","0.015","0.1644","0.014","0.2059","0.0091","0.1602","0.0098","0.1829","0.0069","0.1577","0.0231","0.1851","0.0018"
"1.2.1.16","0.1551","0.1879","0.1788","0.0133","0.173","0.0176","0.1822","0.0074","0.165","0.0112","0.1809","0.0067","0.1707","0.0098","0.1885","0.0114","0.1701","0.0014"
"1.2.1.20","0.1877","0.2208","0.1779","0.0131","0.1719","0.018","0.1814","0.0075","0.1646","0.0112","0.1803","0.0069","0.1699","0.0098","0.187","0.0117","0.1696","0.0014"
"1.2.1.79","0.1877","0.2208","0.1779","0.0131","0.1719","0.018","0.1814","0.0075","0.1646","0.0112","0.1803","0.0069","0.1699","0.0098","0.187","0.0117","0.1696","0.0014"
"1.15.1.1","0.005392","0.02105","0.1818","0.001","0.1743","0.0073","0.1741","0.0013","0.1676","0.0021","0.18","0.005","0.1693","0.0027","0.178","0.0066","0.1725","0.0005"
"3.5.2.14","0.01037","0.02747","0.1786","0.0036","0.169","0.025","0.1908","0.0067","0.1848","0.0027","0.185","0.0137","0.156","0.0072","0.1677","0.0056","0.1653","0.002"
"3.1.3.16","0.1705","0.2041","0.1783","0.0098","0.1711","0.0157","0.174","0.0087","0.1676","0.0071","0.1836","0.0097","0.1669","0.006","0.1722","0.004","0.1705","0.0008"
"2.6.1.16","0.9533","0.9542","0.1698","0.0029","0.168","0.0092","0.1714","0.0049","0.1715","0.0075","0.172","0.0026","0.1685","0.0091","0.1747","0.0061","0.1716","0.0016"
"2.1.1.107","0.1822","0.2159","0.1682","0.0052","0.1705","0.0088","0.1669","0.0049","0.1758","0.0026","0.1701","0.0033","0.1711","0.002","0.1742","0.0044","0.1686","0.0005"
"1.3.1.9","0.001447","0.01834","0.1627","0.0017","0.1821","0.0035","0.1622","0.0079","0.1886","0.0064","0.1529","0.0066","0.1747","0.0065","0.1558","0.0159","0.1765","0.0008"
"6.1.1.14","0.002442","0.01834","0.1587","0.0056","0.1777","0.0102","0.1599","0.0081","0.196","0.0058","0.1508","0.0081","0.1735","0.0054","0.1535","0.0188","0.1755","0.0015"
"1.2.7.3","0.155","0.1879","0.1711","0.0238","0.1714","0.02","0.1728","0.0195","0.1759","0.017","0.183","0.0096","0.1554","0.0112","0.158","0.0064","0.1575","0.0022"
"3.5.1.88","0.004444","0.01956","0.1734","0.0041","0.1642","0.008","0.1691","0.0075","0.1572","0.0004","0.1834","0.0079","0.1583","0.0017","0.178","0.0185","0.1607","0.0003"
"3.5.1.28","0.2569","0.286","0.1784","0.0152","0.1666","0.0017","0.1581","0.0118","0.1681","0.0034","0.172","0.0165","0.1721","0.0045","0.156","0.0207","0.1713","0.0022"
"4.2.1.2","0.0222","0.04462","0.1648","0.0039","0.1699","0.0044","0.1626","0.0057","0.1757","0.0032","0.1682","0.0022","0.1623","0.0011","0.1623","0.0044","0.1666","0.0006"
"3.6.1.11","0.05816","0.08827","0.1651","0.0007","0.1708","0.0075","0.1673","0.0048","0.1629","0.0091","0.168","0.0028","0.1594","0.0038","0.1714","0.0103","0.162","0.0002"
"3.6.1.40","0.05816","0.08827","0.1651","0.0007","0.1708","0.0075","0.1673","0.0048","0.1629","0.0091","0.168","0.0028","0.1594","0.0038","0.1714","0.0103","0.162","0.0002"
"6.3.4.14","0.008089","0.02447","0.1713","0.0071","0.1604","0.0046","0.1672","0.0094","0.16","0.0059","0.1822","0.0101","0.1529","0.0072","0.1729","0.0157","0.159","0.0011"
"1.2.1.2","0.587","0.6011","0.164","0.0097","0.1666","0.009","0.1701","0.0084","0.1664","0.0036","0.164","0.0059","0.1657","0.0078","0.1589","0.0116","0.1696","0.0021"
"2.5.1.54","0.1083","0.1389","0.1585","0.001","0.163","0.0117","0.1561","0.0076","0.1799","0.014","0.1629","0.004","0.1653","0.0119","0.1664","0.0057","0.172","0.0016"
"4.2.1.46","0.8514","0.8552","0.1616","0.0072","0.1659","0.0119","0.1611","0.007","0.1624","0.0059","0.1612","0.0059","0.1676","0.0124","0.1654","0.0059","0.1667","0.0024"
"6.1.1.6","0.003599","0.01871","0.1592","0.0004","0.167","0.0051","0.1576","0.0028","0.1735","0.0033","0.1576","0.0019","0.1569","0.0024","0.1648","0.0061","0.1648","0.0001"
"2.1.1.79","0.498","0.5161","0.1622","0.0174","0.1678","0.0293","0.1621","0.0091","0.1603","0.0255","0.1534","0.0093","0.1557","0.0167","0.1846","0.024","0.1531","0.0039"
"6.3.5.4","0.01123","0.02889","0.1652","0.0048","0.1609","0.008","0.1603","0.0036","0.168","0.0029","0.1675","0.0043","0.1522","0.0072","0.1682","0.006","0.1535","0.0003"
"1.3.99.22","0.003127","0.01834","0.1571","0.0023","0.1685","0.0036","0.1565","0.0081","0.1718","0.0005","0.1534","0.0037","0.1684","0.0037","0.1519","0.0099","0.1669","0.0005"
"1.4.4.2","0.008089","0.02447","0.1538","0.0043","0.1684","0.0096","0.152","0.0019","0.1911","0.007","0.1491","0.0065","0.1595","0.0069","0.1466","0.0122","0.1649","0.0025"
"3.2.1.52","0.005982","0.02211","0.1697","0.0054","0.1507","0.0119","0.1625","0.0019","0.1431","0.0066","0.1687","0.0074","0.1546","0.0068","0.1732","0.0152","0.1558","0.0014"
"2.5.1.17","0.02073","0.04259","0.158","0.0011","0.1646","0.0021","0.1578","0.0045","0.1649","0.0023","0.1594","0.0023","0.1544","0.0024","0.1605","0.0054","0.1583","0.0003"
"2.3.1.180","0.001586","0.01834","0.1693","0.0027","0.1535","0.0032","0.1614","0.003","0.1447","0.0019","0.1709","0.0081","0.1525","0.0019","0.1709","0.0148","0.1525","0.0009"
"1.13.12.16","0.004933","0.02018","0.1404","0.0206","0.1595","0.0254","0.1475","0.0199","0.1741","0.0085","0.125","0.0183","0.187","0.0159","0.1564","0.0211","0.1853","0.0045"
"6.3.2.4","0.04689","0.0742","0.1608","0.0099","0.1569","0.0103","0.1652","0.0047","0.1499","0.0005","0.1663","0.0022","0.1552","0.0019","0.1579","0.0087","0.1532","0.0007"
"1.1.1.205","0.001839","0.01834","0.1633","0.0031","0.154","0.0027","0.1621","0.0149","0.1444","0.0038","0.1768","0.0092","0.1421","0.001","0.1738","0.0263","0.1463","0.0003"
"3.5.4.25","0.02628","0.04971","0.1559","0.0031","0.1559","0.0049","0.1564","0.0076","0.1626","0.0052","0.1619","0.0069","0.1491","0.0077","0.1554","0.0029","0.1497","0.0019"
"5.99.1.2","0.004079","0.01906","0.1541","0.0013","0.1575","0.0034","0.1518","0.0082","0.1599","0.0037","0.1482","0.0025","0.1644","0.0005","0.1446","0.0157","0.1586","0.0007"
"1.2.7.11","0.0797","0.1108","0.1597","0.0184","0.1559","0.0133","0.1616","0.0181","0.151","0.0106","0.1731","0.0077","0.1431","0.007","0.1498","0.0098","0.144","0.0013"
"6.1.1.17","0.02436","0.04759","0.1506","0.0073","0.1641","0.0092","0.155","0.0022","0.168","0.0066","0.1458","0.0089","0.1538","0.0085","0.144","0.0123","0.1564","0.0015"
"4.2.1.75","0.4077","0.4315","0.1496","0.0041","0.1524","0.0097","0.1501","0.0078","0.1589","0.0041","0.155","0.0048","0.1547","0.005","0.1568","0.0065","0.1569","0.0004"
"3.1.11.2","0.1177","0.1487","0.1527","0.0068","0.1608","0.0078","0.1601","0.0078","0.1565","0.0041","0.1479","0.0071","0.1602","0.0078","0.1442","0.0142","0.1515","0.0004"
"3.1.3.3","0.02518","0.04842","0.1429","0.0053","0.1553","0.0244","0.1423","0.0064","0.1701","0.0094","0.135","0.0044","0.168","0.0143","0.1489","0.0187","0.1697","0.0007"
"1.1.1.31","0.6612","0.6717","0.1549","0.0067","0.1595","0.0209","0.1627","0.0086","0.1494","0.0086","0.147","0.009","0.1539","0.0139","0.1483","0.013","0.153","0.0024"
"3.1.3.18","0.004437","0.01956","0.1457","0.0031","0.1567","0.0096","0.1499","0.0131","0.1625","0.0031","0.1372","0.0075","0.169","0.0065","0.1442","0.0184","0.1628","0.0015"
"2.5.1.3","0.001809","0.01834","0.1434","0.0022","0.1626","0.0057","0.1471","0.0066","0.1686","0.0034","0.1371","0.0052","0.1608","0.0042","0.1394","0.0152","0.16","0.0007"
"2.4.2.9","0.003571","0.01868","0.1571","0.0067","0.1527","0.006","0.1565","0.0048","0.1397","0.0007","0.1641","0.0059","0.1506","0.0016","0.1519","0.0077","0.1447","0.0005"
