Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"3.2.1.37","0.06152","0.09223","0.017","0.0052","0.011","0.006","0.0163","0.0082","0.0119","0.0033","0.0119","0.0031","0.0241","0.0065","0.0187","0.0061","0.0227","0.0004"
"1.2.1.68","0.05679","0.08655","0.0161","0.003","0.0148","0.0021","0.018","0.0055","0.0158","0.0011","0.0129","0.003","0.021","0.0026","0.0163","0.0048","0.0184","0.0006"
"3.4.17.19","0.003043","0.01834","0.0194","0.0041","0.0169","0.004","0.0152","0.0005","0.0202","0.0007","0.0194","0.0018","0.0123","0.0006","0.0155","0.0015","0.0141","0.0004"
"2.7.1.100","0.301","0.3275","0.0177","0.0018","0.0143","0.004","0.0161","0.0007","0.0153","0.0016","0.0175","0.001","0.0169","0.0023","0.0155","0.0015","0.0179","0.0006"
"2.1.1.298","0.008961","0.02534","0.0139","0.0013","0.0152","0.0007","0.0158","0.0049","0.0186","0.0002","0.0112","0.0027","0.0215","0.0025","0.0153","0.0054","0.0188","0.0005"
"1.1.1.53","0.1018","0.1323","0.0169","0.0034","0.0165","0.006","0.0157","0.0029","0.0157","0.0044","0.0166","0.0029","0.0126","0.0013","0.0222","0.0067","0.0123","0.0004"
"2.6.1.66","0.008861","0.02531","0.018","0.0025","0.0149","0.0022","0.0187","0.0018","0.0118","0.0024","0.0174","0.0022","0.0156","0.0013","0.0193","0.0027","0.0125","0.0002"
"2.3.1.79","0.00213","0.01834","0.0185","0.0043","0.0132","0.0008","0.0156","0.0016","0.0102","0.0009","0.0195","0.0043","0.014","0.0007","0.0233","0.0062","0.0132","0.0004"
"4.3.1.15","0.117","0.1481","0.0149","0.0012","0.0149","0.0039","0.0167","0.0018","0.0176","0.001","0.0137","0.0027","0.0173","0.0023","0.0139","0.0022","0.0176","0.0004"
"2.6.1.2","0.01403","0.03303","0.0177","0.0023","0.0148","0.0023","0.0184","0.0016","0.0117","0.0025","0.0168","0.0021","0.0156","0.0013","0.0188","0.0027","0.0124","0.0002"
"6.4.1.5","0.003669","0.01878","0.0113","0.0035","0.0143","0.0043","0.0148","0.0048","0.0179","0.0017","0.0099","0.004","0.0243","0.0038","0.0114","0.005","0.0215","0.0013"
"4.2.1.40","0.003585","0.01868","0.0125","0.0026","0.0123","0.0028","0.0157","0.0032","0.015","0.002","0.0106","0.0021","0.0227","0.0013","0.0162","0.0036","0.0195","0.0008"
"5.3.3.1","0.5528","0.5686","0.0167","0.0026","0.017","0.0072","0.014","0.0022","0.016","0.0043","0.0137","0.0033","0.0133","0.0016","0.0191","0.0071","0.0143","0.0006"
"2.7.1.144","0.003756","0.01878","0.0187","0.0016","0.0135","0.0037","0.0207","0.0048","0.0102","0.0011","0.0211","0.0032","0.0095","0.0006","0.0192","0.0057","0.0098","0.0004"
"3.5.1.24","0.005842","0.02193","0.0144","0.0015","0.0182","0.0014","0.014","0.0018","0.0158","0.0031","0.0109","0.002","0.0162","0.0017","0.0142","0.002","0.0189","0.0007"
"1.3.8.12","0.0316","0.05589","0.0137","0.0018","0.0188","0.0041","0.0152","0.002","0.0167","0.0017","0.0123","0.0028","0.0157","0.0018","0.0122","0.0031","0.0175","0"
"3.4.21.105","0.09016","0.1211","0.0127","0.001","0.0148","0.0076","0.013","0.0029","0.0197","0.0048","0.011","0.0029","0.0194","0.0062","0.0122","0.0061","0.0192","0.0008"
"4.2.1.79","0.04524","0.0721","0.0123","0.0075","0.0162","0.0108","0.0091","0.003","0.0203","0.0012","0.0084","0.0013","0.0175","0.0021","0.0197","0.0058","0.0182","0.0004"
"4.2.1.83","0.04361","0.07057","0.0153","0.005","0.0109","0.0032","0.0156","0.0024","0.0138","0.0009","0.014","0.0025","0.0199","0.003","0.0149","0.0028","0.0169","0.0006"
