"Species name",CK-Mean(%),CK-Sd(%),Tb-Mean(%),Tb-Sd(%),Pvalue,"Corrected pvalue","Lower ci","Upper ci",Effectsize
g__Anteaglonium,0.004538,0.01129,0,0,0.003309,0.01798,0.0007261,0.01071,0.004538
g__Boletopsis,0.002723,0.007556,0.001634,0.006113,0.3265,0.3895,-0.003267,0.006534,0.001089
g__Bradymyces,0.004357,0.004505,0,0,0.0005277,0.004934,0.002179,0.006718,0.004357
g__unclassified_f__Kickxellaceae,0.004175,0.01195,0,0,0.1649,0.2522,0,0.01144,0.004175
g__Annulohypoxylon,0.004175,0.005044,0,0,0.000521,0.004934,0.001997,0.006899,0.004176
g__Madurella,0.004175,0.01562,0,0,0.3531,0.3895,0,0.01253,0.004175
g__Coniella,0.004175,0.007091,0,0,0.03785,0.08963,0.0009078,0.008351,0.004176
g__Alternaria,0.002904,0.005166,0.001089,0.002164,0.359,0.3952,-0.0007259,0.004721,0.001816
g__Gymnopilus,0.003993,0.01291,0,0,0.1649,0.2522,0,0.01144,0.003993
g__Discosia,0.003993,0.009174,0,0,0.03792,0.08963,0.000363,0.009803,0.003994
g__Pochonia,0.00363,0.01358,0.000363,0.001358,1,1,-0.001089,0.01053,0.003268
g__Cladobotryum,0.00363,0.01081,0.0001815,0.0006792,0.2574,0.3832,0,0.009439,0.003449
g__Aphanoascus,0.003449,0.0129,0.0001815,0.0006792,1,1,-0.000363,0.01035,0.003267
g__Cystofilobasidium,0.00363,0.01358,0,0,0.3531,0.3895,0,0.01089,0.003631
g__Rhizophlyctis,0.00363,0.005434,0,0,0.003354,0.01798,0.001271,0.006536,0.003631
g__Phragmocephala,0.00363,0.01287,0,0,0.1649,0.2522,0,0.01053,0.00363
g__unclassified_f__Orbiliaceae,0.002723,0.007556,0.0007261,0.002717,0.3265,0.3895,-0.001271,0.006715,0.001996
g__Armillaria,0.003086,0.009413,0.000363,0.0009228,0.3508,0.3895,-0.000363,0.007987,0.002723
g__Pluteus,0.003086,0.00957,0.000363,0.001358,0.5211,0.5634,-0.0007261,0.007806,0.002723
g__Pezicula,0.003086,0.005476,0.000363,0.0009228,0.07759,0.155,0.000363,0.005991,0.002723
g__Paraphoma,0.003449,0.004945,0,0,0.003354,0.01798,0.001271,0.006173,0.003449
g__Cephalotheca,0.003449,0.006506,0,0,0.01759,0.05258,0.0005445,0.007442,0.003449
g__Paramicrothyrium,0.003086,0.007668,0.0001815,0.0006792,0.1386,0.2522,2.451E-8,0.007079,0.002904
g__unclassified_f__Hydnodontaceae,0.003267,0.01223,0,0,0.3531,0.3895,0,0.009802,0.003267
g__Dioszegia,0.002904,0.008391,0.000363,0.0009228,0.9098,0.9444,-0.0005445,0.007807,0.002542
g__Basidiobolus,0.003267,0.005676,0,0,0.01762,0.05258,0.0005446,0.006172,0.003268
g__Heterocephalacria,0.003267,0.008124,0,0,0.01749,0.05258,0.000363,0.007988,0.003268
g__unclassified_f__Xylariaceae,0.00236,0.00392,0.0007261,0.002717,0.1905,0.2881,-0.0009083,0.003994,0.001634
g__Acremonium,0.003086,0.009466,0,0,0.07946,0.155,0,0.008351,0.003086
g__Volvariella,0.003086,0.01017,0,0,0.1649,0.2522,0,0.008895,0.003086
g__unclassified_f__Teichosporaceae,0.002723,0.004398,0.0001815,0.0006792,0.05893,0.1346,0.0005446,0.004903,0.002542
g__Xylaria,0.002723,0.004618,0.0001815,0.0006792,0.06308,0.1407,0.0003634,0.004903,0.002542
g__unclassified_f__Hypocreaceae,0.002723,0.006939,0.0001815,0.0006792,0.2575,0.3832,-0.0001814,0.006716,0.002541
g__Peniophora,0.002904,0.005355,0,0,0.003309,0.01798,0.0009075,0.006172,0.002904
g__Pleuroascus,0.002904,0.01087,0,0,0.3531,0.3895,0,0.008713,0.002904
g__Paecilomyces,0.002541,0.00646,0.000363,0.001358,0.2906,0.3895,-0.0005447,0.006173,0.002178
g__unclassified_o__Patellariales,0.002904,0.00466,0,0,0.01759,0.05258,0.0007265,0.005448,0.002905
g__Preussia,0.002904,0.006133,0,0,0.01749,0.05258,0.0005445,0.006353,0.002904
g__Monascus,0.002904,0.01087,0,0,0.3531,0.3895,0,0.008713,0.002904
g__Sympodiella,0.002904,0.00466,0,0,0.007819,0.02972,0.000726,0.005265,0.002905
g__Scolecobasidium,0.002904,0.01087,0,0,0.3531,0.3895,0,0.008713,0.002904
g__Microscypha,0.00236,0.004045,0.000363,0.001358,0.02225,0.06327,0.0003628,0.00472,0.001997
g__Rickenella,0.002723,0.01019,0,0,0.3531,0.3895,0,0.008168,0.002723
g__Leptosphaeria,0.0009076,0.001893,0.001815,0.003061,0.4185,0.457,-0.002724,0.0009074,-0.0009079
g__Scleropezicula,0.0009076,0.002749,0.001815,0.006792,0.638,0.6712,-0.005264,0.001999,-0.0009072
g__unclassified_o__Myrmecridiales,0.002541,0.005897,0.0001815,0.0006792,0.2575,0.3832,0,0.005808,0.00236
g__Lepista,0.002541,0.006687,0.0001815,0.0006792,0.07158,0.155,0.0001815,0.006171,0.002359
g__Angustimassarina,0.002541,0.003861,0.0001815,0.0006792,0.05866,0.1346,0.0005446,0.004538,0.00236
g__Leohumicola,0.00236,0.008829,0.0001815,0.0006792,1,1,-0.000363,0.00708,0.002178
g__Ciliciopodium,0.002541,0.006304,0,0,0.07946,0.155,0,0.006353,0.002541
g__unclassified_c__Tremellomycetes,0.002541,0.005897,0,0,0.07946,0.155,0.0003631,0.00581,0.002542
g__Collophora,0.002541,0.005981,0,0,0.007574,0.02972,0.0005445,0.006171,0.002541
g__Tritirachium,0.002541,0.009509,0,0,0.3531,0.3895,0,0.007624,0.002541
g__Dactylellina,0.002541,0.005179,0,0,0.03785,0.08963,0.0005445,0.005628,0.002541
g__Atractospora,0.002541,0.003861,0,0,0.007868,0.02972,0.0007261,0.004539,0.002542
g__Mucor,0.002541,0.005981,0,0,0.007574,0.02972,0.0005445,0.00599,0.002541
g__unclassified_o__Boliniales,0.002178,0.006051,0.000363,0.001358,0.1792,0.2726,-0.0005447,0.005264,0.001815
g__Triangularia,0.002541,0.008098,0,0,0.07932,0.155,0,0.00708,0.002542
g__Tomentellopsis,0.002541,0.00676,0,0,0.1649,0.2522,0,0.006534,0.002541
g__Lyophyllum,0.001271,0.00239,0.001089,0.002942,0.4812,0.5244,-0.001816,0.001997,0.0001812
g__Densospora,0.00236,0.00749,0,0,0.1649,0.2522,0,0.006715,0.002359
g__unclassified_f__Verrucariaceae,0.00236,0.008829,0,0,0.3531,0.3895,0,0.00708,0.00236
g__Pleiochaeta,0.00236,0.00749,0,0,0.1649,0.2522,0,0.006716,0.00236
g__Plectania,0.00236,0.005128,0,0,0.07946,0.155,0,0.005446,0.00236
g__Spadicoides,0.00236,0.00392,0,0,0.01759,0.05258,0.0007261,0.00472,0.00236
g__unclassified_o__Spizellomycetales,0.00236,0.004283,0,0,0.007737,0.02972,0.0005445,0.004902,0.00236
g__Mycosymbioces,0.00236,0.008126,0,0,0.1649,0.2522,0,0.006899,0.00236
g__Leptodontidium,0.002178,0.003129,0.0001815,0.0006792,0.02717,0.07454,0.0005446,0.003813,0.001997
g__unclassified_o__Botryosphaeriales,0.001997,0.003883,0.0001815,0.0006792,0.13,0.2423,0.0001815,0.003994,0.001816
g__Capronia,0.002178,0.003574,0,0,0.007819,0.02972,0.000726,0.004176,0.002178
g__unclassified_f__Chaetothyriaceae,0.002178,0.00675,0,0,0.07932,0.155,0.0001815,0.00599,0.002178
g__Elaphomyces,0.002178,0.003129,0,0,0.003243,0.01798,0.000726,0.003813,0.002178
g__unclassified_f__Cordycipitaceae,0.002178,0.00815,0,0,0.3531,0.3895,0,0.006536,0.002179
g__unclassified_f__Lentitheciaceae,0.001815,0.004721,0.000363,0.0009228,0.9098,0.9444,-0.0005445,0.004176,0.001453
g__Celosporium,0.002178,0.00815,0,0,0.3531,0.3895,0,0.006536,0.002179
g__unclassified_f__Trichomeriaceae,0.001997,0.00302,0,0,0.007819,0.02972,0.000726,0.003813,0.001997
g__Ballistosporomyces,0.001997,0.007471,0,0,0.3531,0.3895,0,0.005989,0.001996
g__Ambomucor,0.001997,0.003753,0,0,0.01749,0.05258,0.000363,0.004176,0.001997
g__Antrodiella,0.001997,0.006774,0,0,0.1649,0.2522,0,0.005808,0.001996
g__Monacrosporium,0.001997,0.003333,0,0,0.01759,0.05258,0.0005445,0.003994,0.001997
g__Rhexodenticula,0.0005446,0.001471,0.001452,0.005434,0.638,0.6712,-0.004175,0.001271,-0.0009076
g__Mastigobasidium,0.001815,0.003219,0.0001815,0.0006792,0.06739,0.149,0.0001815,0.00345,0.001634
g__unclassified_o__GS37,0.001815,0.004721,0.0001815,0.0006792,0.5211,0.5634,-0.0001815,0.004176,0.001634
g__Mycoleptodiscus,0.001815,0.006792,0.0001815,0.0006792,1,1,-0.000363,0.005445,0.001634
g__Calonectria,0.001815,0.006098,0.0001815,0.0006792,0.5491,0.5901,-0.000363,0.005264,0.001634
g__Odontia,0.001271,0.004754,0.0005446,0.002038,1,1,-0.001089,0.003812,0.0007261
g__Helvella,0.001271,0.002775,0.0005446,0.002038,0.3258,0.3895,-0.001089,0.002723,0.0007261
g__unclassified_f__Coniochaetaceae,0.001634,0.006113,0.0001815,0.0006792,1,1,-0.0005445,0.004901,0.001452
g__Nigrospora,0.001634,0.00236,0.0001815,0.0006792,0.05826,0.1346,0.0003631,0.002723,0.001452
g__Cistella,0.0009076,0.00214,0.0009076,0.003396,0.3649,0.4002,-0.002361,0.001634,-2.815E-7
g__Cyphellophora,0.0007261,0.001553,0.001089,0.002942,0.783,0.8191,-0.002361,0.001089,-0.0003635
g__unclassified_f__Dermateaceae,0.001815,0.005026,0,0,0.1649,0.2522,0,0.00472,0.001815
g__Vishniacozyma,0.001815,0.004394,0,0,0.07946,0.155,0,0.004357,0.001815
g__Glarea,0.001634,0.006113,0,0,0.3531,0.3895,0,0.004901,0.001634
g__Tylopilus,0.001634,0.006113,0,0,0.3531,0.3895,0,0.004901,0.001634
g__Hyaloscypha,0.001634,0.00309,0,0,0.03785,0.08963,0.000363,0.003268,0.001634
g__Xenochalara,0.001634,0.005424,0,0,0.1649,0.2522,0,0.005809,0.001634
g__unclassified_f__Pleurotheciaceae,0.001634,0.00214,0,0,0.00777,0.02972,0.0005446,0.002723,0.001634
g__Phoma,0.001634,0.004739,0,0,0.07932,0.155,0,0.004175,0.001634
g__Bulleribasidium,0.001634,0.005424,0,0,0.1649,0.2522,0,0.00472,0.001634
g__Ramularia,0.001634,0.004183,0,0,0.07946,0.155,0,0.004175,0.001634
g__Botryobasidium,0.001634,0.006113,0,0,0.3531,0.3895,0,0.004901,0.001634
g__Dendrosporium,0.001452,0.003554,0.0001815,0.0006792,0.2736,0.3895,-0.0001815,0.003268,0.001271
g__Idriella,0.001452,0.005434,0.0001815,0.0006792,1,1,-0.0005445,0.004356,0.001271
g__Entorrhiza,0.001452,0.004075,0.0001815,0.0006792,0.2899,0.3895,-0.0001815,0.003812,0.001271
g__Ustilaginoidea,0.001452,0.003554,0.0001815,0.0006792,0.2736,0.3895,-0.0001815,0.003268,0.001271
g__Daldinia,0.001452,0.003554,0.0001815,0.0006792,0.2736,0.3895,-0.0001815,0.00345,0.001271
g__Mycenella,0.001271,0.00259,0.0001815,0.0006792,0.2574,0.3832,-0.0001815,0.002541,0.001089
g__unclassified_f__Helotiales_fam_Incertae_sedis,0.0007261,0.002098,0.0007261,0.002098,1,1,-0.001452,0.001634,-2.914E-8
g__Allantophomopsis,0.001452,0.004751,0,0,0.1649,0.2522,0,0.004175,0.001452
g__Cryptodiscus,0.001452,0.002164,0,0,0.01745,0.05258,0.0005445,0.002542,0.001452
g__Hannaella,0.001452,0.005434,0,0,0.3531,0.3895,0,0.004356,0.001452
g__Hyalodendriella,0.001452,0.002942,0,0,0.03785,0.08963,0.0001815,0.003087,0.001453
g__Septoria,0.001452,0.004195,0,0,0.1649,0.2522,0,0.003994,0.001452
g__unclassified_p__Kickxellomycota,0.001089,0.002769,0.000363,0.001358,0.5209,0.5634,-0.0007261,0.00236,0.0007261
g__Bjerkandera,0.001452,0.002769,0,0,0.03778,0.08963,0.0001815,0.002904,0.001452
g__unclassified_o__GS05,0.001452,0.005434,0,0,0.3531,0.3895,0,0.004356,0.001452
g__Wickerhamomyces,0.001452,0.004195,0,0,0.1649,0.2522,0,0.004357,0.001452
g__Lecythophora,0.001452,0.005434,0,0,0.3531,0.3895,0,0.004356,0.001452
g__Coniothyrium,0.001271,0.003268,0,0,0.1649,0.2522,0,0.003268,0.001271
g__Rupestriomyces,0.001271,0.004754,0,0,0.3531,0.3895,0,0.003812,0.001271
g__Clavulinopsis,0.001271,0.003268,0,0,0.1649,0.2522,0,0.003268,0.001271
g__Leotia,0.001271,0.003417,0,0,0.07932,0.155,0.0001815,0.003268,0.001271
g__Glomus,0,0,0.001271,0.004754,0.3531,0.3895,-0.003812,0,-0.001271
g__unclassified_o__Auriculariales,0.001271,0.004754,0,0,0.3531,0.3895,0,0.003812,0.001271
g__unclassified_p__Blastocladiomycota,0.001271,0.002949,0,0,0.07946,0.155,0,0.002905,0.001271
g__unclassified_p__Basidiobolomycota,0.001271,0.004754,0,0,0.3531,0.3895,0,0.003812,0.001271
g__Seimatosporium,0.000363,0.0009228,0.0009076,0.002749,0.9698,1,-0.002361,0.0005445,-0.0005449
g__Lopadostoma,0.001089,0.002383,0.0001815,0.0006792,0.2736,0.3895,-0.0001815,0.002178,0.0009076
g__Xylomelasma,0.001089,0.004075,0.0001815,0.0006792,1,1,-0.000363,0.003268,0.0009078
g__unclassified_f__Chaetosphaeriaceae,0.0001815,0.0006792,0.0009076,0.003396,1,1,-0.002724,0.0005445,-0.0007264
g__Rhinocladiella,0.0009076,0.00236,0.0001815,0.0006792,0.5211,0.5634,-0.000363,0.002178,0.0007261
g__Siepmannia,0.001089,0.002769,0,0,0.07932,0.155,0,0.002905,0.001089
g__Hymenopellis,0.001089,0.004075,0,0,0.3531,0.3895,0,0.003268,0.001089
g__unclassified_o__Myriangiales,0.001089,0.004075,0,0,0.3531,0.3895,0,0.003268,0.001089
g__Neta,0.001089,0.002942,0,0,0.1649,0.2522,0,0.002905,0.00109
g__Dictyochaeta,0.001089,0.001642,0,0,0.01728,0.05258,0.000363,0.001997,0.001089
g__unclassified_f__Inocybaceae,0.001089,0.004075,0,0,0.3531,0.3895,0,0.003268,0.001089
g__Ciboria,0.001089,0.004075,0,0,0.3531,0.3895,0,0.003268,0.001089
g__Polycephalomyces,0.001089,0.002164,0,0,0.03764,0.08963,0.0001815,0.00236,0.001089
g__Tetracladium,0.001089,0.002769,0,0,0.07932,0.155,0,0.002724,0.001089
g__Taphrina,0.001089,0.002383,0,0,0.07946,0.155,0,0.002541,0.001089
g__Pseudopithomyces,0.001089,0.001642,0,0,0.01728,0.05258,0.000363,0.001997,0.001089
g__Articulospora,0.001089,0.002383,0,0,0.07946,0.155,0,0.002541,0.001089
g__Berkleasmium,0.001089,0.003412,0,0,0.1649,0.2522,0,0.003087,0.001089
g__Ripartites,0,0,0.001089,0.004075,0.3531,0.3895,-0.003268,0,-0.001089
g__Hydnotrya,0.001089,0.004075,0,0,0.3531,0.3895,0,0.003268,0.001089
g__Orbilia,0.001089,0.002164,0,0,0.07889,0.155,0,0.002178,0.001089
g__Retiarius,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009079
g__unclassified_f__Onygenaceae,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009078
g__Wardomyces,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009078
g__Cuphophyllus,0,0,0.0009076,0.002749,0.1649,0.2522,-0.002542,0,-0.0009079
g__Arachnomyces,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009078
g__Alatospora,0.0009076,0.001609,0,0,0.03764,0.08963,0.0001815,0.001815,0.0009076
g__Leucothecium,0.0009076,0.002749,0,0,0.1649,0.2522,0,0.002542,0.0009079
g__Unguicularia,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009078
g__Endophragmiella,0.0009076,0.001893,0,0,0.07932,0.155,0,0.001997,0.0009076
g__unclassified_o__Hysteriales,0.0009076,0.001609,0,0,0.03764,0.08963,0.0001815,0.001815,0.0009076
g__Lepiota,0.0009076,0.001609,0,0,0.03764,0.08963,0.0001815,0.001815,0.0009076
g__Lophiotrema,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009078
g__Aureobasidium,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009079
g__unclassified_c__Taphrinomycetes,0.0009076,0.001609,0,0,0.03764,0.08963,0.0001815,0.001815,0.0009076
g__Piskurozyma,0.0009076,0.001893,0,0,0.07932,0.155,0,0.001997,0.0009076
g__Hyphozyma,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009078
g__Papiliotrema,0.0009076,0.001609,0,0,0.03764,0.08963,0.0001815,0.001815,0.0009076
g__Acrodontium,0.0009076,0.003396,0,0,0.3531,0.3895,0,0.002724,0.0009079
g__Symmetrospora,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Phallus,0.0007261,0.002098,0,0,0.1649,0.2522,0,0.001997,0.000726
g__Coemansia,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__unclassified_f__Olpidiaceae,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Dominikia,0,0,0.0007261,0.002098,0.1649,0.2522,-0.001815,0,-0.0007261
g__Exserohilum,0.0007261,0.001846,0,0,0.1646,0.2522,0,0.001815,0.0007262
g__Lachnella,0.0007261,0.002098,0,0,0.1649,0.2522,0,0.001997,0.0007261
g__unclassified_p__Glomeromycota,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Marasmius,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__unclassified_o__GS08,0,0,0.0007261,0.002717,0.3531,0.3895,-0.002179,0,-0.0007264
g__Radulomyces,0.0007261,0.001553,0,0,0.07932,0.155,0,0.001634,0.0007261
g__Camptophora,0.0007261,0.001553,0,0,0.07932,0.155,0,0.001634,0.0007261
g__Powellomyces,0.0007261,0.002098,0,0,0.1649,0.2522,0,0.001815,0.0007261
g__Emarcea,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Pseudochaetosphaeronema,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Dissophora,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Strobilomyces,0.0007261,0.001846,0,0,0.1646,0.2522,0,0.001815,0.0007261
g__Perenniporia,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__unclassified_o__GS09,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Hyphodontia,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Steccherinum,0.0005446,0.001471,0.0001815,0.0006792,0.5491,0.5901,-0.000363,0.001271,0.0003631
g__Phlebia,0.0001815,0.0006792,0.0005446,0.002038,1,1,-0.001634,0.0005445,-0.0003631
g__unclassified_c__Lobulomycetes,0.0005446,0.001082,0.0001815,0.0006792,0.3064,0.3895,-0.000363,0.001089,0.000363
g__Proliferodiscus,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007265
g__Bryochiton,0,0,0.0007261,0.001846,0.1646,0.2522,-0.001815,0,-0.0007262
g__Trichothecium,0.0007261,0.002098,0,0,0.1649,0.2522,0,0.001997,0.0007261
g__Ramicandelaber,0.0005446,0.002038,0.0001815,0.0006792,1,1,-0.0005445,0.001634,0.0003631
g__Boeremia,0.0005446,0.002038,0.0001815,0.0006792,1,1,-0.000363,0.001634,0.0003631
g__Amphinema,0,0,0.0007261,0.002717,0.3531,0.3895,-0.002179,0,-0.0007264
g__Fusicolla,0.0007261,0.001553,0,0,0.07932,0.155,0,0.001634,0.0007261
g__Sarcodon,0.0007261,0.002717,0,0,0.3531,0.3895,0,0.002179,0.0007264
g__Naganishia,0.0007261,0.001553,0,0,0.07932,0.155,0,0.001634,0.0007261
g__Cephalosporium,0.000363,0.0009228,0.000363,0.001358,0.6378,0.6712,-0.0009078,0.000726,-8.313E-8
g__Thelebolus,0.000363,0.001358,0.000363,0.0009228,0.6378,0.6712,-0.000726,0.0009077,5.959E-8
g__Pyxidiophora,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Arthrobotrys,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__unclassified_o__Rhizophydiales,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Hyphoderma,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005445
g__unclassified_f__Stephanosporaceae,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Absidia,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005445
g__Podospora,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Thermomyces,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Phaeothecoidea,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Microsporomyces,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Dendryphion,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Bipolaris,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Pleurostoma,0.0005446,0.001082,0,0,0.07889,0.155,0,0.001089,0.0005445
g__unclassified_o__GS15,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Crepidotus,0.0005446,0.001082,0,0,0.07889,0.155,0,0.001089,0.0005445
g__Virgaria,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Stagonospora,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Otidea,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__unclassified_o__Polyporales,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Corticium,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.002178,0.0005446
g__Pseudomerulius,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Triadelphia,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Brachysporium,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Dictyocatenulata,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Kockovaella,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Cyphellophoriella,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Pilidium,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Kernia,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Paralepista,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Camarographium,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Pleurothecium,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__unclassified_f__Tubeufiaceae,0.0005446,0.001471,0,0,0.1649,0.2522,0,0.001452,0.0005446
g__Tulostoma,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Agrocybe,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Verticillium,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Chaetomella,0.0005446,0.002038,0,0,0.3531,0.3895,0,0.001634,0.0005446
g__Hirsutella,0.000363,0.001358,0.0001815,0.0006792,1,1,-0.0005445,0.001089,0.0001816
g__Xenoacremonium,0.000363,0.001358,0.0001815,0.0006792,1,1,-0.000363,0.001089,0.0001816
g__Beauveria,0.0001815,0.0006792,0.000363,0.001358,1,1,-0.001089,0.0005445,-0.0001816
g__Botryohypochnus,0,0,0.000363,0.001358,0.3531,0.3895,-0.001452,0,-0.0003631
g__Niesslia,0,0,0.000363,0.001358,0.3531,0.3895,-0.001089,0,-0.000363
g__Connersia,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__unclassified_o__Hymenochaetales,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__unclassified_f__Helotiaceae,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__unclassified_f__Chionosphaeraceae,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__unclassified_f__Chrysozymaceae,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Mollisina,0.000363,0.0009228,0,0,0.1646,0.2522,0,0.0009075,0.000363
g__Cystobasidium,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Setomelanomma,0.000363,0.0009228,0,0,0.1646,0.2522,0,0.0009075,0.000363
g__Strelitziana,0.000363,0.0009228,0,0,0.1646,0.2522,0,0.0009075,0.000363
g__Leccinum,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Phialea,0,0,0.000363,0.0009228,0.1646,0.2522,-0.0009075,0,-0.000363
g__unclassified_c__Dacrymycetes,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Hypoxylon,0.000363,0.0009228,0,0,0.1646,0.2522,0,0.0009075,0.000363
g__Conocybe,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Zalerion,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Tapinella,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__unclassified_f__Ophiocordycipitaceae,0,0,0.000363,0.001358,0.3531,0.3895,-0.001089,0,-0.0003631
g__Apiosordaria,0.000363,0.0009228,0,0,0.1646,0.2522,0,0.0009075,0.000363
g__unclassified_c__GS14,0.000363,0.0009228,0,0,0.1646,0.2522,0,0.0009075,0.000363
g__Tricholosporum,0.000363,0.0009228,0,0,0.1646,0.2522,0,0.0009075,0.000363
g__Basidioascus,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Melanogaster,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Biatriospora,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Alatosessilispora,0.000363,0.001358,0,0,0.3531,0.3895,0,0.001089,0.0003631
g__Schizopora,0.0001815,0.0006792,0,0,0.3531,0.3895,0,0.0005445,0.0001815
g__Calcarisporiella,0.0001815,0.0006792,0,0,0.3531,0.3895,0,0.0005445,0.0001815
g__Acrostalagmus,0.0001815,0.0006792,0,0,0.3531,0.3895,0,0.0005445,0.0001815
g__Parathyridaria,0.0001815,0.0006792,0,0,0.3531,0.3895,0,0.0005445,0.0001815
g__unclassified_o__Endogonales,0.0001815,0.0006792,0,0,0.3531,0.3895,0,0.0005445,0.0001815
g__Paraphaeosphaeria,0,0,0.0001815,0.0006792,0.3531,0.3895,-0.0005445,0,-0.0001815
