"Species name",CK-Mean(%),CK-Sd(%),Tb-Mean(%),Tb-Sd(%),Pvalue,"Corrected pvalue","Lower ci","Upper ci",Effectsize
g__unclassified_o__Xylariales,0.03939,0.04365,0.000363,0.001358,6.305E-5,0.001147,0.0187,0.06317,0.03903
g__Tremella,0.03885,0.06444,0.0005446,0.002038,0.0002009,0.002675,0.01089,0.07444,0.0383
g__Hydnellum,0.03885,0.08817,0.0001815,0.0006792,0.05483,0.1279,0.002723,0.09022,0.03866
g__Coniochaeta,0.03667,0.03669,0.001815,0.003061,1.358E-5,0.0004633,0.02088,0.05717,0.03485
g__unclassified_c__Dothideomycetes,0.03104,0.03802,0.006716,0.01543,0.0006152,0.005332,0.006716,0.04775,0.02433
g__Cladosporium,0.03213,0.04232,0.004357,0.006416,0.00445,0.0215,0.009076,0.05283,0.02777
g__unclassified_c__Orbiliomycetes,0.03431,0.1082,0.0007261,0.001553,0.02633,0.07291,0.001997,0.09474,0.03358
g__unclassified_c__Leotiomycetes,0.03485,0.1096,0,0,0.007901,0.02972,0.001815,0.09674,0.03485
g__unclassified_f__Nectriaceae,0.03413,0.1095,0.000363,0.0009228,0.003717,0.01897,0.002542,0.09384,0.03376
g__Scytalidium,0.02469,0.06047,0.007987,0.02776,0.1417,0.2522,-0.01053,0.05699,0.0167
g__unclassified_f__Pleomassariaceae,0.03231,0.09923,0.0001815,0.0006792,0.01202,0.04101,0.001271,0.08659,0.03213
g__unclassified_f__Teratosphaeriaceae,0.02814,0.03003,0.003449,0.005948,0.01999,0.05837,0.01053,0.04066,0.02469
g__unclassified_o__Trechisporales,0.02995,0.06515,0,0,0.03792,0.08963,0.001089,0.06698,0.02995
g__Poculum,0.02668,0.02074,0.003086,0.005827,0.0005833,0.005221,0.01343,0.03449,0.0236
g__Tausonia,0.02705,0.05391,0.001271,0.002775,0.002897,0.01798,0.003994,0.05627,0.02577
g__Mariannaea,0.02795,0.05619,0.000363,0.0009228,0.0008399,0.006808,0.005808,0.06025,0.02759
g__unclassified_f__Tricholomataceae,0.02687,0.04946,0,0,0.01762,0.05258,0.003812,0.05628,0.02687
g__Chaetosphaeria,0.02578,0.02498,0.0007261,0.001553,0.0008181,0.006808,0.01325,0.0383,0.02505
g__unclassified_o__GS34,0.02632,0.04846,0,0,0.03792,0.08963,0.005083,0.05392,0.02632
g__Mrakia,0.02578,0.03403,0.000363,0.0009228,0.00101,0.007658,0.009983,0.04483,0.02541
g__Aspergillus,0.02178,0.0593,0.003812,0.006124,0.1945,0.2934,-0.001634,0.05192,0.01797
g__Dactylonectria,0.02323,0.07103,0.001089,0.001921,0.05553,0.129,0.0009076,0.06154,0.02215
g__unclassified_f__Didymosphaeriaceae,0.02087,0.02524,0.003267,0.008995,0.006964,0.02972,0.005989,0.03249,0.01761
g__unclassified_o__Sebacinales,0.02196,0.06853,0.001634,0.003246,0.9038,0.9435,-0.001454,0.05955,0.02033
g__Humaria,0.01107,0.01603,0.01107,0.02402,0.6956,0.729,-0.01507,0.01361,-1.018E-7
g__Serendipita,0.01688,0.01983,0.004175,0.01562,0.005307,0.02456,-0.001271,0.02414,0.01271
g__unclassified_o__Tremellodendropsidales,0.02087,0.07811,0,0,0.3531,0.3895,0,0.06261,0.02087
g__Collarina,0.01579,0.01876,0.004901,0.01076,0.02882,0.07829,-0.0001805,0.02233,0.01089
g__Athelia,0.003449,0.01081,0.01706,0.06384,0.3651,0.4002,-0.05065,0.008712,-0.01362
g__Lophiostoma,0.02015,0.03252,0,0,6.553E-5,0.001154,0.006898,0.03938,0.02015
g__Mycena,0.02015,0.0545,0,0,0.003377,0.01798,0.002179,0.0519,0.02015
g__Tuber,0.001997,0.004694,0.01797,0.05514,0.5255,0.567,-0.04684,0.001816,-0.01598
g__Paraboeremia,0.01924,0.04697,0.0005446,0.001471,0.3057,0.3895,-3.173E-8,0.04557,0.0187
g__Cryptococcus_f__Tremellaceae,0.01579,0.02353,0.003812,0.01355,0.004669,0.02217,-0.00109,0.0265,0.01198
g__Austroboletus,0.01924,0.06981,0,0,0.03764,0.08963,0.0001815,0.07516,0.01924
g__unclassified_o__Agaricales,0.01888,0.06176,0,0,0.1649,0.2522,0,0.05428,0.01888
g__unclassified_p__Mortierellomycota,0.01743,0.01631,0.001089,0.002769,0.0004256,0.004556,0.00835,0.02577,0.01634
g__Trichomerium,0.01779,0.02021,0.0005446,0.001471,0.002951,0.01798,0.007262,0.02832,0.01725
g__unclassified_o__Tremellales,0.01797,0.06147,0,0,0.03792,0.08963,0.0005445,0.05102,0.01797
g__Lecanicillium,0.01416,0.01634,0.00363,0.004537,0.02345,0.06635,0.00236,0.01997,0.01053
g__Holtermanniella,0.01652,0.02239,0.0007261,0.001191,0.08905,0.1718,0.004175,0.02795,0.01579
g__unclassified_o__GS19,0.0167,0.04116,0.000363,0.001358,0.1391,0.2522,0.0003631,0.04102,0.01634
g__Apodus,0.01616,0.02385,0.0005446,0.001082,0.102,0.1946,0.004357,0.0285,0.01561
g__Myrothecium,0.01507,0.0169,0.001452,0.003412,0.0344,0.08963,0.005446,0.02287,0.01362
g__unclassified_o__Coniochaetales,0.01543,0.0327,0,0,0.003392,0.01798,0.00363,0.03448,0.01543
g__Mycoarthris,0.01543,0.02313,0,0,0.003392,0.01798,0.005083,0.02832,0.01543
g__Coleophoma,0.01525,0.01907,0,0,0.0005332,0.004934,0.006716,0.02559,0.01525
