Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"1.6.5.3","0.96733212341198","1.066","0.0398","1.102","0.0461","0.003143","0.06878","0.03578","0.06953","0.1088"
"2.7.7.7","0.97862453531599","1.053","0.0307","1.076","0.0342","-0.001865","0.04607","0.02292","0.1237","0.1796"
"3.6.4.12","1.0038175815105","0.9729","0.0214","0.9692","0.026","-0.02075","0.013","-0.003683","0.2802","0.3555"
"2.7.13.3","0.98640688717716","0.8708","0.0126","0.8828","0.0229","-0.00137","0.02609","0.01197","0.3012","0.3768"
"1.1.1.100","1.0221402214022","0.7202","0.0181","0.7046","0.0137","-0.02725","-0.003603","-0.01552","0.02294","0.04025"
"2.7.11.1","1.1586935638809","0.6031","0.0465","0.5205","0.0265","-0.1091","-0.05459","-0.08261","2.136E-5","0.0001827"
"1.9.3.1","0.88812154696133","0.5144","0.0287","0.5792","0.0234","0.04509","0.08343","0.0648","2.62E-5","0.0002005"
"5.2.1.8","0.91558787018975","0.5163","0.0254","0.5639","0.0192","0.03249","0.06351","0.04761","3.917E-5","0.0002346"
"6.3.5.7","0.93078572821213","0.4774","0.0158","0.5129","0.0119","0.02614","0.04557","0.03553","7.468E-6","0.0001594"
"6.3.5.6","0.93038221528861","0.4771","0.0158","0.5128","0.012","0.02589","0.04607","0.03564","7.468E-6","0.0001594"
"2.3.1.9","1.0988346033169","0.4903","0.0175","0.4462","0.0298","-0.06026","-0.02639","-0.04413","0.0005223","0.001585"
"2.7.7.6","0.97771587743733","0.4212","0.0107","0.4308","0.0136","0.0005789","0.01798","0.009612","0.1029","0.1528"
"2.2.1.6","0.96653734238603","0.3986","0.0085","0.4124","0.0109","0.006526","0.02088","0.01375","0.004717","0.01001"
"4.2.1.17","1.168782068593","0.4328","0.0282","0.3703","0.03","-0.08409","-0.04172","-0.06254","7.053E-5","0.0003297"
"6.2.1.3","1.1017042330951","0.4008","0.0254","0.3638","0.0206","-0.05397","-0.01922","-0.03695","0.001019","0.002765"
"1.2.99.2","1.1115075825156","0.3738","0.0266","0.3363","0.0296","-0.05711","-0.01405","-0.03746","0.002616","0.006046"
"6.4.1.2","0.98622821810006","0.3509","0.0109","0.3558","0.0166","-0.004851","0.01522","0.004863","0.4213","0.5021"
"1.2.4.1","1.2043795620438","0.3795","0.0278","0.3151","0.0196","-0.08167","-0.0476","-0.06437","3.207E-5","0.0002161"
"5.1.3.2","1.0113141862489","0.3486","0.0124","0.3447","0.0098","-0.01125","0.004998","-0.003873","0.1611","0.2243"
"3.6.3.17","1.1688762626263","0.3703","0.0341","0.3168","0.0291","-0.07681","-0.03162","-0.05344","0.0003099","0.001017"
"4.2.99.18","1.1166347992352","0.3504","0.0203","0.3138","0.0127","-0.04919","-0.02384","-0.03658","1.738E-5","0.0001737"
